timestamp,EAR,Blink Rate,Blink Duration,IBI,Incomplete Blink Ratio,PERCLOS
20.038,0.1585,0.00,0.0000,0.0000,0.0000,0.00
20.184,0.1766,0.00,0.0000,0.0000,0.0000,0.00
20.213,0.2063,0.00,0.0000,0.0000,1.0000,0.00
20.281,0.2573,0.00,0.0000,0.0000,1.0000,0.00
20.342,0.2960,0.00,0.0000,0.0000,1.0000,0.00
20.380,0.3084,0.00,0.0000,0.0000,1.0000,0.00
20.427,0.3085,0.00,0.0000,0.0000,1.0000,0.00
20.476,0.3074,0.00,0.0000,0.0000,1.0000,0.00
20.524,0.3107,0.00,0.0000,0.0000,1.0000,0.00
20.598,0.3090,0.00,0.0000,0.0000,1.0000,0.00
20.645,0.3111,0.00,0.0000,0.0000,1.0000,0.00
20.684,0.3091,0.00,0.0000,0.0000,1.0000,0.00
20.740,0.3144,0.00,0.0000,0.0000,1.0000,0.00
20.792,0.3085,0.00,0.0000,0.0000,1.0000,0.00
20.820,0.3059,0.00,0.0000,0.0000,1.0000,0.00
20.885,0.3017,0.00,0.0000,0.0000,1.0000,0.00
20.923,0.3072,0.00,0.0000,0.0000,1.0000,0.00
20.983,0.3158,0.00,0.0000,0.0000,1.0000,0.00
21.037,0.3256,0.00,0.0000,0.0000,1.0000,0.00
21.083,0.3379,0.00,0.0000,0.0000,1.0000,0.00
21.125,0.3436,0.00,0.0000,0.0000,1.0000,0.00
21.168,0.3485,0.00,0.0000,0.0000,1.0000,0.00
21.222,0.3508,0.00,0.0000,0.0000,1.0000,0.00
21.279,0.3530,0.00,0.0000,0.0000,1.0000,0.00
21.318,0.3579,0.00,0.0000,0.0000,1.0000,0.00
21.359,0.3620,0.00,0.0000,0.0000,1.0000,0.00
21.412,0.3620,0.00,0.0000,0.0000,1.0000,0.00
21.451,0.3607,0.00,0.0000,0.0000,1.0000,0.00
21.494,0.3611,0.00,0.0000,0.0000,1.0000,0.00
21.557,0.3698,0.00,0.0000,0.0000,1.0000,0.00
21.597,0.3726,0.00,0.0000,0.0000,1.0000,0.00
21.654,0.3708,0.00,0.0000,0.0000,1.0000,0.00
21.695,0.3696,0.00,0.0000,0.0000,1.0000,0.00
21.745,0.3704,0.00,0.0000,0.0000,1.0000,0.00
21.805,0.3681,0.00,0.0000,0.0000,1.0000,0.00
21.863,0.3620,0.00,0.0000,0.0000,1.0000,0.00
21.924,0.3548,0.00,0.0000,0.0000,1.0000,0.00
21.966,0.3536,0.00,0.0000,0.0000,1.0000,0.00
22.020,0.3522,0.00,0.0000,0.0000,1.0000,0.00
22.060,0.3493,0.00,0.0000,0.0000,1.0000,0.00
22.107,0.3463,0.00,0.0000,0.0000,1.0000,0.00
22.157,0.3471,0.00,0.0000,0.0000,1.0000,0.00
22.198,0.3515,0.00,0.0000,0.0000,1.0000,0.00
22.262,0.3534,0.00,0.0000,0.0000,1.0000,0.00
22.304,0.3509,0.00,0.0000,0.0000,1.0000,0.00
22.347,0.3478,0.00,0.0000,0.0000,1.0000,0.00
22.395,0.3474,0.00,0.0000,0.0000,1.0000,0.00
22.449,0.3528,0.00,0.0000,0.0000,1.0000,0.00
22.491,0.2761,0.00,0.0000,0.0000,1.0000,0.00
22.547,0.1843,0.00,0.0000,0.0000,1.0000,0.00
22.601,0.0848,0.00,0.0000,0.0000,1.0000,0.00
22.662,0.1319,350.82,0.1710,0.0000,0.5000,9.87
22.704,0.2075,281.43,0.1710,0.0422,0.5000,9.68
22.760,0.2910,222.99,0.1710,0.0980,0.5000,9.50
22.801,0.3098,193.55,0.1710,0.1390,0.5000,9.33
22.854,0.3173,165.30,0.1710,0.1920,0.5000,9.16
22.885,0.3191,155.88,0.1710,0.2139,0.5000,9.00
22.936,0.3146,134.95,0.1710,0.2736,0.5000,8.85
22.998,0.3026,118.41,0.1710,0.3357,0.5000,8.70
23.052,0.2911,106.92,0.1710,0.3902,0.5000,8.55
23.105,0.2908,97.67,0.1710,0.4433,0.5000,8.41
23.149,0.2935,91.13,0.1710,0.4873,0.5000,8.28
23.191,0.3047,85.77,0.1710,0.5285,0.5000,8.14
23.250,0.3058,79.09,0.1710,0.5876,0.5000,8.02
23.301,0.3063,74.05,0.1710,0.6393,0.5000,7.89
23.356,0.3058,69.39,0.1710,0.6936,0.5000,7.77
23.403,0.3110,65.80,0.1710,0.7408,0.5000,7.66
23.465,0.3184,61.61,0.1710,0.8028,0.5000,7.55
23.493,0.3158,59.86,0.1710,0.8313,0.5000,7.44
23.551,0.3131,56.62,0.1710,0.8887,0.5000,7.33
23.595,0.3093,54.36,0.1710,0.9328,0.5000,7.23
23.651,0.3093,51.73,0.1710,0.9888,0.5000,7.13
